Nombre,Edad,Titulo_Profesional,Universidad_Instituto,Palabras_Clave,Comuna,Presencial,Magister,Target
Luis Carlos Peña Olea,44,Enfermero,Universidad Técnica Federico Santa María,9,Puente Alto,Si,No,Aceptado
Paola Carol Barrientos Aguilera,22,Periodista,DUOC UC,16,La Serena,Si,Si,Aceptado
Nicole Florencia Molina Vargas,62,Técnico en Informática,Universidad de Santiago,3,La Florida,Si,Si,Rechazado
Yoselin Fernanda Vidal Carrasco,56,Contador Auditor,Universidad Andrés Bello,11,Quilicura,No,No,Rechazado
Samuel Benito Candia Chacón,40,Técnico en Administración,Universidad Adolfo Ibáñez,12,Valparaíso,No,Si,Rechazado
Nancy Emilia Vidal Mena,61,Técnico en Informática,Universidad de Concepción,4,La Serena,No,Si,Rechazado
Sofía Espinoza Ponce,25,Ingeniero Civil,Universidad Mayor,9,Recoleta,No,No,Rechazado
Pablo Ramón Albornoz Díaz,29,Periodista,Pontificia Universidad Católica,8,Concepción,Si,No,Aceptado
José Aguayo Pardo,60,Contador Auditor,Universidad Diego Portales,13,Estación Central,No,No,Rechazado
Pedro Juan Gutiérrez Vergara,61,Periodista,Instituto Profesional AIEP,3,Quilicura,Si,Si,Rechazado
Gladys Aylin Gallardo Cabrera,45,Abogado,Universidad Técnica Federico Santa María,9,Providencia,No,No,Rechazado
José Antonio Bugueño Acuña,44,Periodista,Universidad de Santiago,12,Santiago,No,No,Aceptado
Juan Thomas Pastén Díaz,62,Contador Auditor,DUOC UC,5,Independencia,No,Si,Rechazado
Albertina Natalia Garrido Rojas,24,Diseñador Gráfico,Instituto Profesional AIEP,18,San Miguel,No,Si,Aceptado
Herminia Herrera,25,Periodista,Universidad Mayor,11,Concepción,No,No,Rechazado
Viviana Sonia Zamorano González,26,Enfermero,Universidad de Santiago,12,Antofagasta,Si,No,Rechazado
Camila Sandra Ruiz Vera,51,Ingeniero Comercial,INACAP,4,Maipú,No,Si,Aceptado
Verónica Sofía Farías Barrera,57,Periodista,Universidad Adolfo Ibáñez,6,Las Condes,Si,No,Rechazado
Yerko Edison Cubillos Olguín,43,Licenciado en Ciencias,Instituto Profesional AIEP,20,Quilicura,No,No,Aceptado
Daniela Francisca García González,52,Psicólogo,Universidad de Concepción,9,Quilicura,No,Si,Rechazado
Manuel Godoy Osorio,55,Técnico en Informática,Universidad de Chile,8,Las Condes,No,Si,Aceptado
José Astudillo,38,Abogado,Pontificia Universidad Católica,3,Independencia,No,No,Rechazado
Eliana Sandra Jara Cea,46,Ingeniero Civil,Universidad de Santiago,20,Maipú,Si,No,Aceptado
Belén María Galaz Gómez,57,Técnico en Administración,Universidad Andrés Bello,16,Valparaíso,Si,No,Rechazado
Leidy Luz Donoso González,45,Enfermero,Instituto Profesional AIEP,1,La Florida,Si,No,Rechazado
Ingrid Aurora Cisternas Barra,22,Psicólogo,Universidad Diego Portales,14,La Florida,No,Si,Aceptado
Patricio Kevin Ortiz Mella,60,Ingeniero Civil,INACAP,16,Peñalolén,Si,Si,Aceptado
Sebastián Humberto Ramírez Lazcano,24,Diseñador Gráfico,Universidad de Santiago,16,Concepción,Si,Si,Aceptado
Edith Olivares,33,Diseñador Gráfico,DUOC UC,15,Viña del Mar,No,No,Aceptado
René Matías Burgos Pinto,24,Técnico en Informática,DUOC UC,14,Santiago,Si,Si,Aceptado
Alma Carla Pardo Valladares,53,Arquitecto,Universidad Adolfo Ibáñez,3,Santiago,No,Si,Rechazado
Carmen Liliana Ramos Bugueño,61,Ingeniero Civil,Universidad Diego Portales,13,Santiago,Si,Si,Aceptado
Ángel Pulgar Poblete,35,Arquitecto,Universidad Adolfo Ibáñez,1,Quilicura,Si,Si,Rechazado
Felipe Pastén Soto,40,Técnico en Administración,Universidad Mayor,5,Quilicura,Si,Si,Rechazado
Patricia Filomena Araya Naranjo,61,Enfermero,Universidad de Chile,18,Quilicura,No,No,Rechazado
Rosa Cecilia Coronado Pinto,61,Arquitecto,Universidad Mayor,12,La Serena,No,No,Rechazado
Juan Bastián Hermosilla Orellana,56,Periodista,Universidad de Santiago,18,Estación Central,No,No,Rechazado
Guillermo Víctor Vallejos Villalobos,41,Médico,Universidad Técnica Federico Santa María,3,La Florida,No,Si,Rechazado
Pascal González,23,Licenciado en Ciencias,Universidad Técnica Federico Santa María,18,Maipú,Si,Si,Aceptado
Miguel José Muñoz Opazo,24,Diseñador Gráfico,Universidad Mayor,17,La Florida,Si,No,Rechazado
Octavio Pinto Salinas,40,Arquitecto,Universidad Diego Portales,18,Providencia,No,No,Aceptado
Millaray Susana Vega Gómez,32,Médico,Universidad Mayor,4,Providencia,Si,Si,Rechazado
Belén Fernanda Vergara Rivas,38,Periodista,Universidad de Chile,5,Providencia,Si,No,Rechazado
Miguel Francisco Quezada Moraga,54,Técnico en Informática,DUOC UC,17,Ñuñoa,No,No,Rechazado
Fermín Javier Espinoza Espinoza,40,Arquitecto,Universidad de Santiago,4,San Miguel,Si,No,Rechazado
Adelina Orellana-Rojas,28,Técnico en Administración,Universidad Diego Portales,14,Ñuñoa,No,Si,Aceptado
Octavio Mario Sandoval Mora,44,Técnico en Administración,Pontificia Universidad Católica,18,La Serena,Si,No,Rechazado
Sandra Renata Díaz Arancibia,45,Ingeniero Comercial,Pontificia Universidad Católica,17,Concepción,Si,Si,Aceptado
Ana Agustina Riquelme Vidal,62,Médico,Universidad de Concepción,7,La Serena,Si,No,Rechazado
Jessica Palma Díaz,27,Arquitecto,DUOC UC,4,Quilicura,Si,Si,Rechazado
José Flores,62,Abogado,INACAP,4,San Miguel,No,No,Rechazado
Catalina Zurita,33,Licenciado en Ciencias,Universidad de Chile,6,Santiago,Si,Si,Rechazado
Bárbara América Meléndez Carrillo,31,Enfermero,Universidad Andrés Bello,1,Concepción,Si,Si,Rechazado
Alondra Poblete Acevedo,31,Médico,Universidad Mayor,5,Las Condes,Si,No,Rechazado
Julio Daniel Briones Aravena,64,Periodista,Universidad Técnica Federico Santa María,6,Valparaíso,No,No,Rechazado
Leandro Caro Soto,40,Técnico en Informática,Universidad de Chile,19,Ñuñoa,Si,Si,Aceptado
Veronica Pino Ruiz,23,Enfermero,Universidad de Concepción,20,Recoleta,No,No,Aceptado
Patricia Pamela Machuca Pereira,27,Arquitecto,Pontificia Universidad Católica,8,Ñuñoa,Si,Si,Rechazado
Lidia Zambrano,23,Enfermero,Universidad de Santiago,3,La Florida,No,No,Rechazado
Roberto Hernán Rivera Armijo,43,Técnico en Informática,Universidad Andrés Bello,3,Peñalolén,Si,No,Rechazado
Fabián Felipe Cortés González,46,Enfermero,Universidad Adolfo Ibáñez,12,La Florida,Si,No,Rechazado
Priscilla Valdés,30,Técnico en Administración,INACAP,3,Peñalolén,No,No,Rechazado
Aída Cerda Herrera,31,Médico,DUOC UC,3,La Florida,Si,Si,Rechazado
Adrián Benjamín Sierra Barrientos,27,Arquitecto,Instituto Profesional AIEP,15,Providencia,Si,Si,Aceptado
Juana Reyes Gutiérrez,31,Técnico en Administración,Universidad Andrés Bello,17,Concepción,No,Si,Rechazado
Lino Valdebenito Jara,42,Diseñador Gráfico,DUOC UC,14,Recoleta,Si,Si,Aceptado
Silvia María Mena Ramírez,50,Técnico en Informática,INACAP,8,Ñuñoa,No,No,Rechazado
Marisol Aylin Díaz Farías,41,Ingeniero Civil,Pontificia Universidad Católica,12,Peñalolén,No,Si,Aceptado
Marcos Bustos,44,Arquitecto,Universidad Diego Portales,14,La Serena,Si,No,Aceptado
Laura Sanhueza,55,Abogado,Universidad Mayor,7,Ñuñoa,No,Si,Rechazado
Sandra Natalia Marchant Fernández,24,Técnico en Informática,Universidad Adolfo Ibáñez,0,Independencia,Si,Si,Rechazado
Romina Daisy Vilches Araneda,31,Ingeniero Civil,Universidad Diego Portales,17,La Florida,No,No,Rechazado
Carlos Mauricio Rojas Gómez,40,Enfermero,Universidad de Santiago,3,Las Condes,No,No,Rechazado
Carla Concha González,31,Licenciado en Ciencias,Universidad Adolfo Ibáñez,5,Peñalolén,Si,Si,Rechazado
María Patricia Carvajal González,48,Abogado,Universidad Diego Portales,13,Independencia,No,Si,Aceptado
Juan José Rodríguez Gamboa,27,Ingeniero Comercial,INACAP,10,Valparaíso,No,Si,Rechazado
Matías Vargas,49,Enfermero,INACAP,0,Valparaíso,No,Si,Rechazado
Marco Eloy González Navarrete,42,Técnico en Informática,Instituto Profesional AIEP,1,Santiago,Si,No,Rechazado
Mauricio Hugo Mejías Parada,64,Técnico en Administración,Universidad de Chile,5,Antofagasta,Si,Si,Rechazado
Antonio Rodrigo García Fuentes,58,Médico,Universidad Andrés Bello,14,Quilicura,Si,No,Rechazado
Isabel Valdebenito,55,Psicólogo,Universidad Adolfo Ibáñez,10,Providencia,Si,No,Rechazado
María Salinas Pérez,28,Psicólogo,Universidad Mayor,10,Concepción,No,No,Rechazado
Trinidad Miranda Jerez,25,Ingeniero Comercial,Pontificia Universidad Católica,14,Puente Alto,Si,No,Aceptado
Daniela Soto-Suazo Solís,22,Psicólogo,Universidad Diego Portales,5,Quilicura,No,Si,Rechazado
Clemente Miguel Hernández Calderón,50,Ingeniero Civil,Universidad de Santiago,4,Concepción,Si,No,Rechazado
Marta María Burgos Plaza,40,Ingeniero Comercial,Universidad de Concepción,2,San Miguel,Si,Si,Rechazado
Ángela Henríquez Rojas,22,Enfermero,DUOC UC,3,San Miguel,No,Si,Rechazado
Sofía Fernanda Núñez González,46,Arquitecto,Universidad Adolfo Ibáñez,20,Ñuñoa,No,Si,Aceptado
Matilde Farías,45,Periodista,Universidad Diego Portales,12,Ñuñoa,No,No,Rechazado
Amanda Díaz,57,Periodista,Universidad Andrés Bello,13,La Serena,Si,No,Rechazado
Vanessa Valencia,63,Ingeniero Civil,Universidad Mayor,6,Providencia,No,No,Rechazado
Martina Salinas Carrasco,27,Abogado,Universidad de Santiago,18,La Florida,Si,Si,Aceptado
Manuel Bernardo Gómez Ahumada,60,Técnico en Administración,Universidad Diego Portales,8,Estación Central,No,No,Rechazado
Gloria Antonella Leiva Bravo,44,Diseñador Gráfico,Instituto Profesional AIEP,15,Puente Alto,No,No,Rechazado
Gabriel Alex Cáceres Lizana,43,Psicólogo,Universidad de Concepción,8,Valparaíso,Si,Si,Aceptado
Carlos Raúl Aguirre Yáñez,44,Técnico en Administración,Universidad Andrés Bello,12,La Serena,No,No,Rechazado
Sergio Araya,61,Arquitecto,Instituto Profesional AIEP,20,Antofagasta,Si,Si,Aceptado
Juan Guajardo,43,Licenciado en Ciencias,Universidad Andrés Bello,0,Quilicura,No,Si,Rechazado
Carmen Mansilla Ramírez,64,Arquitecto,Universidad Diego Portales,9,La Florida,No,Si,Aceptado
Alexander Enrique Lazcano Zúñiga,63,Médico,Universidad Adolfo Ibáñez,10,Antofagasta,No,No,Aceptado
Karen Moya,40,Periodista,Instituto Profesional AIEP,14,Antofagasta,No,No,Rechazado
Paula Jeannette Ormeño Cortés,30,Médico,Universidad de Chile,14,La Serena,Si,Si,Aceptado
Ernesto Christopher Estay-Valenzuela Carrasco,54,Técnico en Administración,Universidad de Santiago,18,Providencia,Si,Si,Aceptado
Belén Blanca Cisternas-Luengo Ortega,50,Contador Auditor,Universidad de Santiago,17,Quilicura,No,Si,Aceptado
Francisca Rosa Rodríguez Barrera,34,Enfermero,Universidad de Chile,0,Quilicura,Si,Si,Aceptado
Monica Morales,50,Psicólogo,INACAP,6,Ñuñoa,Si,No,Aceptado
Luz Martina Vásquez Méndez,47,Licenciado en Ciencias,Universidad Mayor,16,Quilicura,Si,No,Rechazado
Susana Morales,28,Técnico en Administración,DUOC UC,16,Estación Central,Si,Si,Rechazado
Mario Alfaro,22,Arquitecto,Universidad de Concepción,16,San Miguel,No,Si,Aceptado
Maximiliano Orellana-Contreras Catalán,24,Periodista,Instituto Profesional AIEP,14,Recoleta,Si,Si,Rechazado
Isidora Contreras Rojas,64,Contador Auditor,INACAP,15,La Florida,Si,Si,Aceptado
Walter Carlos Mamani Retamal,37,Ingeniero Informático,Instituto Profesional AIEP,8,La Serena,Si,No,Rechazado
Lucas Salgado,62,Ingeniero Civil,DUOC UC,6,Peñalolén,No,Si,Rechazado
Adriana María Ortiz Olate,36,Ingeniero Informático,Universidad Andrés Bello,2,Peñalolén,Si,No,Aceptado
Richard Diego Mellado Alarcón,51,Técnico en Informática,Instituto Profesional AIEP,7,Maipú,Si,Si,Rechazado
Samuel Hugo Hurtado Baez,36,Psicólogo,Universidad Andrés Bello,19,Providencia,No,No,Aceptado
Waldo Francisco Zapata Fuentes,39,Médico,Universidad Andrés Bello,1,Antofagasta,No,Si,Rechazado
Hernán Manuel Vega Urrutia,50,Médico,Instituto Profesional AIEP,9,Estación Central,Si,Si,Aceptado
Daniela Paloma Miranda Vera,40,Abogado,Pontificia Universidad Católica,2,La Serena,Si,No,Rechazado
Daniela Laura Fuentes Salazar,25,Abogado,Universidad Mayor,19,Independencia,Si,No,Aceptado
Miguel Felipe Moreno Mansilla,52,Licenciado en Ciencias,Universidad Técnica Federico Santa María,10,Estación Central,No,No,Rechazado
María Paredes Fuentes,30,Contador Auditor,Universidad Técnica Federico Santa María,1,La Serena,No,Si,Rechazado
Adolfo Darío Flores Delgado,36,Ingeniero Comercial,Universidad Diego Portales,15,Recoleta,No,Si,Aceptado
Margarita Vanessa Inostroza Sepúlveda,60,Periodista,Universidad Andrés Bello,19,Puente Alto,Si,No,Aceptado
Diego Valenzuela Aburto,58,Técnico en Administración,Pontificia Universidad Católica,18,Independencia,No,No,Aceptado
Carolina Josefa Hernández Mora,30,Ingeniero Civil,Universidad Mayor,5,Recoleta,No,No,Rechazado
Claudio Sebastián Ossandón Ávila,38,Ingeniero Civil,Universidad de Concepción,15,San Miguel,No,Si,Aceptado
Krishna González González,57,Ingeniero Comercial,Universidad de Santiago,9,Antofagasta,Si,Si,Aceptado
Matilde Verdugo Olave,43,Licenciado en Ciencias,Universidad Diego Portales,9,San Miguel,No,Si,Rechazado
Pedro Álvaro Ortega Muñoz,37,Licenciado en Ciencias,Universidad Mayor,7,Viña del Mar,Si,Si,Rechazado
Amparo Pérez,61,Ingeniero Civil,INACAP,12,Estación Central,Si,Si,Rechazado
Víctor Ricardo Guzmán Fernández,65,Ingeniero Comercial,Universidad de Chile,10,La Florida,No,Si,Aceptado
Claudio Matías Lizana Fernández,38,Diseñador Gráfico,Universidad Técnica Federico Santa María,1,Peñalolén,No,No,Rechazado
Constanza Millaray Pinilla Aguilera,53,Técnico en Informática,Universidad Diego Portales,16,Independencia,No,No,Rechazado
Rodrigo Daniel Maldonado Alvarado,59,Ingeniero Civil,DUOC UC,14,Ñuñoa,Si,Si,Aceptado
Laura Solange Mena Yáñez,51,Médico,Instituto Profesional AIEP,12,Providencia,Si,No,Rechazado
Carlos Ramon Díaz Osorio,42,Abogado,Pontificia Universidad Católica,13,Quilicura,No,Si,Aceptado
Said Guajardo Bravo,60,Contador Auditor,INACAP,20,Independencia,No,Si,Rechazado
Leonardo Segovia Oñate,25,Técnico en Informática,Universidad de Santiago,5,Antofagasta,Si,Si,Rechazado
Luis Tomás Morales Lagos,54,Arquitecto,DUOC UC,7,Antofagasta,No,Si,Aceptado
Ítalo José Alarcón Vejar,43,Contador Auditor,Universidad Diego Portales,5,Recoleta,Si,Si,Rechazado
Andrea Victoria Castro Burgos,27,Ingeniero Comercial,Universidad de Chile,13,Santiago,No,Si,Rechazado
Juan Sánchez Mamani,61,Contador Auditor,Universidad Técnica Federico Santa María,6,Recoleta,Si,No,Rechazado
Sebastián Juan Reyes Carrasco,59,Periodista,Universidad Mayor,15,Maipú,Si,Si,Aceptado
Antonella Nathaly Paredes Gallegos,33,Licenciado en Ciencias,Universidad Andrés Bello,10,Peñalolén,Si,Si,Aceptado
Froilán Flores Olivares,34,Ingeniero Informático,Universidad Diego Portales,16,Providencia,No,Si,Rechazado
Leonel Eleodoro Valdés Guzmán,32,Contador Auditor,Universidad Diego Portales,20,Las Condes,No,Si,Aceptado
Víctor Isaías Hormazábal Arriagada,56,Licenciado en Ciencias,Instituto Profesional AIEP,5,Concepción,No,No,Aceptado
Elcira María Baeza Olivares,45,Ingeniero Informático,Universidad Diego Portales,17,Puente Alto,Si,No,Aceptado
Javiera Carmen Toledo Bravo,64,Diseñador Gráfico,Pontificia Universidad Católica,2,San Miguel,No,No,Rechazado
Catalina Rivera,26,Técnico en Informática,Universidad Adolfo Ibáñez,20,Quilicura,Si,No,Aceptado
María Zamorano,50,Médico,Universidad Adolfo Ibáñez,18,Viña del Mar,Si,Si,Aceptado
Sebastián Valenzuela Silva,31,Psicólogo,Universidad Técnica Federico Santa María,10,Puente Alto,No,No,Rechazado
Andy Víctor Arancibia Guzmán,32,Enfermero,Universidad Adolfo Ibáñez,13,Maipú,No,No,Aceptado
María Martina Carmona Miranda,49,Técnico en Informática,INACAP,4,Recoleta,No,No,Rechazado
Francisco Fernando Villegas Romero,25,Abogado,Pontificia Universidad Católica,16,La Florida,Si,No,Aceptado
Elizabeth Berta Olguín Ulloa,59,Enfermero,Universidad de Santiago,13,Antofagasta,Si,No,Rechazado
Vanessa Jacqueline Bustamante Vilches,39,Arquitecto,Universidad Diego Portales,10,Las Condes,Si,Si,Aceptado
Nataly Paula Escobar Torres,26,Enfermero,Universidad Mayor,8,Santiago,No,Si,Aceptado
Aurora Garrido Lara,43,Ingeniero Civil,Universidad Mayor,18,Peñalolén,No,Si,Aceptado
Diego Ruiz López,28,Psicólogo,DUOC UC,3,Puente Alto,No,Si,Rechazado
Bárbara Yolanda Araya Cofré,38,Técnico en Informática,Universidad Mayor,13,La Serena,Si,No,Aceptado
Exequiel Muñoz Valenzuela,41,Psicólogo,Universidad Mayor,17,Santiago,Si,Si,Aceptado
Claudio Luis Corvalán Palma,33,Médico,Universidad Mayor,7,Maipú,No,Si,Rechazado
Rodrigo Carrasco Ríos,51,Ingeniero Informático,Universidad Andrés Bello,5,Maipú,No,No,Rechazado
Irma Jacqueline Jara Villa,34,Ingeniero Civil,Universidad Técnica Federico Santa María,1,Concepción,Si,Si,Aceptado
María González,59,Contador Auditor,Universidad Adolfo Ibáñez,1,Puente Alto,Si,Si,Rechazado
Miguel Peña Vidal,61,Abogado,Universidad Adolfo Ibáñez,10,Independencia,No,No,Aceptado
Ignacia Ramírez Arroyo,29,Ingeniero Civil,Universidad de Chile,7,Estación Central,Si,No,Rechazado
Manuel Diego Ponce Cofré,37,Enfermero,Instituto Profesional AIEP,13,Peñalolén,Si,No,Rechazado
Vanesa Carmen Hernández Saavedra,28,Periodista,DUOC UC,15,Recoleta,Si,No,Aceptado
Cristian Jhonatan Cepeda Muñoz,30,Técnico en Administración,Universidad Técnica Federico Santa María,2,La Serena,No,No,Rechazado
Sergio Roberto Suárez Urrutia,58,Enfermero,Universidad Adolfo Ibáñez,9,Concepción,No,Si,Rechazado
Alan Nicolás González García,36,Abogado,Universidad de Santiago,20,Valparaíso,Si,Si,Aceptado
Elba Rivas Céspedes,41,Ingeniero Comercial,Universidad Mayor,6,Peñalolén,Si,Si,Rechazado
María Camila Muñoz Garrido,63,Ingeniero Informático,Universidad de Santiago,18,Recoleta,Si,Si,Aceptado
José Oyarce Andrade,55,Técnico en Administración,Universidad Adolfo Ibáñez,17,Ñuñoa,No,No,Rechazado
Luis Meléndez,59,Técnico en Informática,Universidad Técnica Federico Santa María,9,La Florida,No,Si,Aceptado
Claudia Catherine Contreras Molina,36,Licenciado en Ciencias,Universidad de Chile,4,Maipú,Si,Si,Aceptado
Vanessa Juana Aguayo Muñoz,29,Periodista,Universidad Mayor,7,Providencia,Si,Si,Aceptado
Álvaro López Godoy,44,Ingeniero Informático,Universidad de Concepción,7,La Florida,No,Si,Aceptado
Orfelina Danae Sánchez Leal,31,Arquitecto,Instituto Profesional AIEP,6,Quilicura,Si,Si,Rechazado
Florencia Quintana,57,Técnico en Informática,Universidad Andrés Bello,12,Concepción,No,Si,Aceptado
Sonia Fabiola Molina Valenzuela,45,Licenciado en Ciencias,DUOC UC,1,Maipú,Si,No,Rechazado
Paulette Rodríguez Sepúlveda,32,Ingeniero Informático,Instituto Profesional AIEP,13,Estación Central,No,Si,Aceptado
Rodrigo Arenas Inzunza,61,Licenciado en Ciencias,DUOC UC,13,Independencia,Si,Si,Aceptado
Ana Paulina Burgos Morán,65,Ingeniero Civil,Universidad Técnica Federico Santa María,15,La Serena,No,Si,Aceptado
Ruth Zepeda,52,Diseñador Gráfico,Pontificia Universidad Católica,9,La Florida,No,Si,Rechazado
Daniela Teresa Meza Pérez,63,Médico,Universidad Mayor,20,La Serena,Si,Si,Aceptado
Sara Yáñez,39,Técnico en Informática,Universidad Diego Portales,18,Maipú,Si,No,Rechazado
Juana Solís Leal,38,Abogado,DUOC UC,14,Recoleta,Si,No,Rechazado
Valeria Castillo,61,Licenciado en Ciencias,INACAP,19,Independencia,No,Si,Aceptado
Fernanda González,42,Técnico en Administración,Universidad de Santiago,17,Peñalolén,No,Si,Aceptado
Emiliano Bastián Troncoso López,59,Enfermero,Pontificia Universidad Católica,18,Quilicura,No,No,Rechazado
Tomás Pablo Sanhueza Martínez,56,Licenciado en Ciencias,Universidad de Chile,15,Santiago,Si,Si,Aceptado
Yocelyn Hurtado,46,Técnico en Administración,Universidad Diego Portales,7,San Miguel,No,No,Rechazado
Sebastián Silva,38,Psicólogo,Pontificia Universidad Católica,16,Maipú,No,No,Aceptado
María Briones Vásquez,47,Contador Auditor,Universidad Mayor,13,Viña del Mar,No,No,Rechazado
Roberto David Blanco Gómez,25,Periodista,DUOC UC,6,San Miguel,No,No,Rechazado
Martina Beatriz Brito Sanhueza,59,Ingeniero Informático,Universidad Adolfo Ibáñez,20,Antofagasta,No,No,Aceptado
Fernando Oliver Reyes Vivanco,49,Contador Auditor,Universidad Andrés Bello,2,Recoleta,No,Si,Rechazado
Natalia Leiva Figueroa,59,Enfermero,Universidad Diego Portales,7,Ñuñoa,Si,No,Rechazado
Marta Valentina Urrutia Núñez,27,Médico,Instituto Profesional AIEP,13,La Florida,Si,Si,Rechazado
Carlos Cristian Chávez Hernández,50,Abogado,DUOC UC,4,Estación Central,Si,Si,Aceptado
José Rubén Aguilar Sepúlveda,46,Técnico en Administración,Universidad Diego Portales,8,Santiago,Si,Si,Rechazado
Carmen Laura Araya Neira,43,Técnico en Informática,Universidad Andrés Bello,3,Viña del Mar,Si,Si,Aceptado
Javier Sebastián Castillo Castillo,63,Contador Auditor,Universidad Técnica Federico Santa María,17,Recoleta,Si,Si,Aceptado
Carla Cáceres Retamal,57,Arquitecto,DUOC UC,0,Independencia,No,Si,Rechazado
Juan Lagos,34,Médico,Universidad de Santiago,16,Concepción,No,Si,Rechazado
Manuel Benjamin Vilches García,44,Licenciado en Ciencias,Universidad Diego Portales,13,La Serena,No,Si,Rechazado
Abigail Anahí Huerta Moreno,47,Ingeniero Civil,Universidad Andrés Bello,14,La Serena,Si,Si,Aceptado
Marcela Ana Venegas Quispe,46,Periodista,Universidad de Chile,15,Recoleta,Si,Si,Aceptado
María Rivera Cifuentes,39,Ingeniero Informático,Pontificia Universidad Católica,16,Peñalolén,No,No,Aceptado
Carlos Roberto Valencia González,51,Periodista,DUOC UC,17,Independencia,Si,Si,Aceptado
Maicol Marco Molina Olivares,42,Arquitecto,Instituto Profesional AIEP,20,Las Condes,Si,No,Aceptado
Germán Bastián Osses Armijo,36,Arquitecto,Universidad Mayor,8,Recoleta,No,No,Rechazado
Matilde Martínez-Méndez,65,Licenciado en Ciencias,Universidad Andrés Bello,20,San Miguel,No,No,Rechazado
Ignacia Sandra Flores Parra,22,Diseñador Gráfico,Universidad de Chile,11,Peñalolén,Si,No,Aceptado
Carmen Flores,55,Abogado,Pontificia Universidad Católica,15,Antofagasta,Si,No,Rechazado
Adrián Alarcón,29,Psicólogo,Pontificia Universidad Católica,11,La Serena,No,No,Aceptado
María Emilia Aravena Lobos,61,Arquitecto,INACAP,9,Independencia,No,Si,Aceptado
Loreto Miriam Guerrero Olguín,38,Médico,Universidad Adolfo Ibáñez,0,Valparaíso,No,Si,Rechazado
Bruno Ibáñez Rojas,50,Técnico en Informática,Pontificia Universidad Católica,20,Peñalolén,Si,No,Aceptado
María Muñoz Maldonado,59,Periodista,Universidad Técnica Federico Santa María,4,Puente Alto,No,No,Rechazado
Sylvia Aguirre,29,Psicólogo,Universidad Mayor,8,Antofagasta,Si,No,Rechazado
Ámbar Claudia Briones Cabrera,42,Licenciado en Ciencias,Universidad de Concepción,18,Las Condes,No,No,Rechazado
Florencia Cecilia Villarroel Martínez,61,Ingeniero Comercial,Universidad Mayor,18,La Florida,No,No,Aceptado
Cecilia Correa,59,Psicólogo,Universidad Técnica Federico Santa María,1,Peñalolén,Si,Si,Rechazado
Paulina Vásquez,58,Técnico en Informática,Instituto Profesional AIEP,18,San Miguel,Si,Si,Rechazado
Manuel Rodrigo Manríquez Andrade,57,Enfermero,Universidad de Concepción,12,San Miguel,Si,Si,Aceptado
Ámbar Gutiérrez Campos,53,Enfermero,Universidad Técnica Federico Santa María,16,Recoleta,Si,Si,Rechazado
Sofía Julieta Cabezas Chamorro,56,Ingeniero Comercial,Pontificia Universidad Católica,13,Concepción,Si,Si,Aceptado
Hernán Cristian Díaz Santibáñez,49,Enfermero,INACAP,0,Recoleta,No,No,Rechazado
Ashley Daniela Becerra Vergara,25,Diseñador Gráfico,Universidad de Concepción,5,Concepción,Si,No,Aceptado
Jacqueline Rosa Farías Ormeño,30,Técnico en Administración,Universidad Técnica Federico Santa María,14,Maipú,Si,No,Aceptado
Amanda Rosa Garay Sanhueza,35,Técnico en Informática,Universidad Mayor,12,Providencia,No,No,Rechazado
Ruth Alice Muñoz Morales,55,Enfermero,Universidad Diego Portales,2,La Florida,No,Si,Rechazado
Sandra Medina Catalán,47,Arquitecto,Universidad Mayor,19,Valparaíso,No,Si,Rechazado
Katherine Toro Díaz,31,Ingeniero Civil,Universidad Diego Portales,18,San Miguel,No,Si,Aceptado
Marion Zoila Alarcón Muñoz,52,Psicólogo,Universidad Adolfo Ibáñez,17,Peñalolén,Si,No,Rechazado
Valentina Sánchez Osorio,44,Licenciado en Ciencias,Universidad de Concepción,3,Concepción,No,No,Rechazado
Miguel Sergio Salazar Padilla,46,Ingeniero Informático,INACAP,1,Viña del Mar,Si,No,Rechazado
Luis Luna Vergara,42,Arquitecto,Universidad Adolfo Ibáñez,19,Recoleta,No,No,Aceptado
Danny Paredes Hernández,36,Técnico en Informática,Universidad de Santiago,13,Maipú,Si,Si,Aceptado
Yohana Ahumada Toro,46,Arquitecto,Universidad de Concepción,20,Puente Alto,No,No,Rechazado
Jeannette Figueroa Badilla,64,Licenciado en Ciencias,Universidad de Santiago,15,Maipú,No,Si,Aceptado
Alfredo Matías Arriagada Bravo,44,Ingeniero Informático,DUOC UC,3,Concepción,Si,No,Rechazado
Angelina Fresia Gutiérrez Farías,61,Médico,INACAP,2,Quilicura,No,Si,Rechazado
Luis Alfredo Norambuena Herrera,31,Técnico en Administración,Pontificia Universidad Católica,19,La Florida,Si,Si,Aceptado
Hilda Catalina Estrada Farías,58,Enfermero,Universidad de Concepción,12,Concepción,Si,No,Rechazado
Gloria Sáez,26,Arquitecto,Universidad Adolfo Ibáñez,8,Peñalolén,No,No,Rechazado
Carmen Andrea González Herrera,51,Abogado,Universidad Mayor,10,Peñalolén,No,Si,Rechazado
Juan Benjamín Aguilar Abarca,33,Técnico en Administración,Pontificia Universidad Católica,6,Recoleta,Si,Si,Aceptado
Sixto Dante Fuentes Toledo,49,Médico,Universidad de Concepción,8,Recoleta,No,No,Rechazado
Silvia Tobar Hormazábal,42,Médico,Instituto Profesional AIEP,14,Valparaíso,Si,No,Aceptado
